# q qerr I(q) I(q)err
8.064111756055686309e-02 1.760036825638956379e-04 1.023679706601466961e+02 7.493830045902902803e-01
8.122977682052832937e-02 1.759654732786031706e-04 1.010362318840579690e+02 7.496752507185826531e-01
8.181165374591749251e-02 1.726343897839182641e-04 9.920270270270270885e+01 7.507869956253288013e-01
8.240098244022038554e-02 1.810402677546168603e-04 9.840515222482436286e+01 7.276938089970736989e-01
8.299994720579806362e-02 1.822021890485935264e-04 9.668922018348624192e+01 7.274163249524019381e-01
8.359259412976006998e-02 1.708617487962716677e-04 9.485386473429952048e+01 7.141506906904510066e-01
8.417373151172473367e-02 1.766132025316931558e-04 9.457424593967517978e+01 7.324064436131978439e-01
8.476662074933889734e-02 1.780661986796716449e-04 9.336842105263157521e+01 6.790191867080512811e-01
8.536079962318203485e-02 1.773262495915062925e-04 9.193707093821510057e+01 6.967317253606731819e-01
8.594552426653166710e-02 1.742336279620123967e-04 9.007126436781609868e+01 6.674542318578449152e-01
8.652896270464717488e-02 1.720199983897832891e-04 8.947106481481480955e+01 7.033916004540214928e-01
8.712621506758892742e-02 1.857935591826532400e-04 8.910957446808509985e+01 6.465035724137710993e-01
8.772695452547846218e-02 1.740648180381294016e-04 8.731900452488687847e+01 6.375176753880941183e-01
8.830803934599477933e-02 1.725159005382769352e-04 8.625169300225734048e+01 6.662749877568125978e-01
8.888586165253352378e-02 1.728467585636453744e-04 8.541759465478841662e+01 6.459524474372559943e-01
8.948421919669313773e-02 1.812946109508820644e-04 8.471868365180466753e+01 6.253726884984865952e-01
9.008305144649590701e-02 1.810487750397870741e-04 8.389445628997867743e+01 6.346370410699532227e-01
9.067824535622288906e-02 1.758095222967191631e-04 8.267456896551723844e+01 6.308239273447041606e-01
9.126338313307034988e-02 1.723736092454367856e-04 8.176906318082788516e+01 6.148009042359694476e-01
9.184340157101805735e-02 1.743602422627421795e-04 8.148283261802575339e+01 6.092972235210586396e-01
9.243791394597747346e-02 1.795090606098415597e-04 8.059316770186335077e+01 6.061254633820475357e-01
9.302976870866393189e-02 1.760411104642856583e-04 7.923319327731091732e+01 5.911402615797551885e-01
9.361538115030113016e-02 1.722310291534436683e-04 7.855626326963906081e+01 5.877051943725363214e-01
9.421327473079488257e-02 1.837879908627812367e-04 7.801778656126482758e+01 5.806772871972134542e-01
9.481648509610683673e-02 1.773974255433312408e-04 7.679405737704918522e+01 5.744693981488893098e-01
9.540884028673547734e-02 1.760351828830018512e-04 7.626985743380855354e+01 5.515008295429790763e-01
9.598905249073787227e-02 1.703596978982401206e-04 7.582217573221757334e+01 5.733295459542084860e-01
9.657180981242989570e-02 1.753164514178102366e-04 7.468181818181818699e+01 5.650477966844822397e-01
9.717019151932516918e-02 1.826713106671511296e-04 7.374758220502901906e+01 5.502304471088054205e-01
9.775818010088264953e-02 1.710046423312643407e-04 7.356801661474558784e+01 5.619480418455966575e-01
9.834899849096886970e-02 1.787175490637634800e-04 7.303296703296703640e+01 5.601811284097322208e-01
9.894581073159464113e-02 1.732990771438431209e-04 7.233785192909280681e+01 5.620204465638541924e-01
9.953536132132259628e-02 1.751535179257426259e-04 7.164681295715777765e+01 5.627336989217378571e-01
1.001301864737947911e-01 1.801518151805420501e-04 7.123804679552389985e+01 5.457308891132663931e-01
1.007179183588380461e-01 1.674068567833704500e-04 7.012294182217343064e+01 5.554364636038406911e-01
1.013025592868862651e-01 1.786987693905216191e-04 6.997037793667007577e+01 5.646470338889888474e-01
1.018965018123662442e-01 1.719364496547107115e-04 6.961331901181524984e+01 5.446101109720578037e-01
1.024875786164751168e-01 1.795255102038660123e-04 6.929188078108941795e+01 5.453930846930796772e-01
1.030807107132225148e-01 1.724739510505670216e-04 6.872097976570819355e+01 5.562852353566459795e-01
1.036651118989289772e-01 1.714731343524465430e-04 6.812674543501611879e+01 5.428950159108250073e-01
1.042481894719531343e-01 1.756120803090436612e-04 6.720231822971548752e+01 5.316286520936518434e-01
1.048453873829353900e-01 1.798539551735103554e-04 6.729102167182662697e+01 5.393493988998224742e-01
1.054442953871368993e-01 1.773201012581720841e-04 6.667221644120706969e+01 5.521087030299893783e-01
1.060336401965231851e-01 1.714498838097677259e-04 6.553148345784418893e+01 5.753507060020068842e-01
1.066156191176782786e-01 1.711521432919493142e-04 6.544564047362756298e+01 5.646041577253441135e-01
1.072026531989285908e-01 1.792273180818197914e-04 6.509249743062692062e+01 5.170713904769552727e-01
1.077966012082824387e-01 1.730706520257294372e-04 6.446808510638297207e+01 5.109597653590974842e-01
1.083861746817991745e-01 1.816036062923496747e-04 6.398440545808966817e+01 5.156942204009377084e-01
1.089846686311629897e-01 1.755103677069375762e-04 6.406845238095237960e+01 5.258537844668115246e-01
1.095759971287613849e-01 1.774890008298920846e-04 6.336062378167641640e+01 5.031457308492236491e-01
1.101663028633136643e-01 1.790558675205867112e-04 6.296755725190839570e+01 4.993722381984399550e-01
1.107625826568191113e-01 1.765897158718331931e-04 6.268511450381679140e+01 4.837144270824018655e-01
1.113497168477418919e-01 1.759245440229086088e-04 6.233111954459202764e+01 4.879947579129808033e-01
1.119413684088152311e-01 1.769392717435755663e-04 6.231063432835821203e+01 4.745823596719233040e-01
1.125369806495302022e-01 1.788454422443713180e-04 6.190201465201464970e+01 4.720525283183296672e-01
1.131286635354791098e-01 1.751262330183658638e-04 6.154990757855822636e+01 4.831759975285775943e-01
1.137164883740600929e-01 1.730446827769186271e-04 6.123747680890537737e+01 4.631855611228141156e-01
1.142995822522553662e-01 1.761555761892401426e-04 6.096909090909090878e+01 4.577915129044899389e-01
1.148869187630646438e-01 1.744966571308807475e-04 6.066393442622950971e+01 4.702465705036087407e-01
1.154807714520353079e-01 1.799021761198701930e-04 6.073123909249563468e+01 4.737260010816936040e-01
1.160763187033179711e-01 1.747835781319651493e-04 6.052584670231728836e+01 4.607638838996656605e-01
1.166646592211767614e-01 1.742019171988056696e-04 6.001515151515151558e+01 4.655146708280647472e-01
1.172491759367291914e-01 1.768188163142950502e-04 5.954378283712784281e+01 4.556092936715618880e-01
1.178389126975715601e-01 1.750143695068065019e-04 5.947456140350877263e+01 4.569444261809592622e-01
1.184306678756465031e-01 1.786897522151485100e-04 5.911309523809524080e+01 4.427398091938228308e-01
1.190256420228891776e-01 1.755545679604984225e-04 5.879001721170396166e+01 4.578130236021894506e-01
1.196260283506607736e-01 1.807955539078543502e-04 5.903960396039603609e+01 4.502805238847886748e-01
1.202164528628435619e-01 1.703300657607914560e-04 5.872727272727272663e+01 4.605051500471256110e-01
1.208002858994561696e-01 1.750269650222306380e-04 5.826262626262626299e+01 4.567306742970374533e-01
1.213819039570987607e-01 1.705451038256225796e-04 5.822719449225473198e+01 4.589178397844372870e-01
1.219676008922214450e-01 1.763966663675118121e-04 5.837313432835821203e+01 4.451049191860772525e-01
1.225673251929011581e-01 1.808581287898632908e-04 5.782958199356912843e+01 4.286666976108777782e-01
1.231604592223288080e-01 1.724208935645587778e-04 5.784144295302013461e+01 4.432099114070106594e-01
1.237538864650691434e-01 1.785855017281409523e-04 5.752720000000000056e+01 4.326095813376003574e-01
1.243436814472209939e-01 1.722229535302489056e-04 5.738269550748751868e+01 4.511514925899831607e-01
1.249290590616164293e-01 1.762934477489206233e-04 5.719547657512116245e+01 4.324186999822437483e-01
1.255222402704585793e-01 1.764733306229763598e-04 5.714570063694267787e+01 4.235732165955413131e-01
1.261151563033917344e-01 1.736683509901738333e-04 5.698550724637681242e+01 4.113720010684703832e-01
1.267058049011277054e-01 1.765124734872174040e-04 5.652380952380952550e+01 4.288018893562416389e-01
1.272983536865096854e-01 1.784938969980498936e-04 5.680829420970265886e+01 4.144129667205220802e-01
1.278957901542655540e-01 1.764809533162329928e-04 5.637089201877934386e+01 4.282446668813982282e-01
1.284823400309182129e-01 1.720193072203147610e-04 5.616057233704292173e+01 4.199653114251179487e-01
1.290609415716624797e-01 1.695637287904164323e-04 5.627536231884057827e+01 4.262780575037804498e-01
1.296566057479038858e-01 1.837681027139005153e-04 5.625699558173784709e+01 4.010869779256813206e-01
1.302591112875108870e-01 1.732475158647225379e-04 5.605832037325038897e+01 4.122634531491655707e-01
1.308450777483063932e-01 1.721805017662231025e-04 5.591601866251944131e+01 4.037023944403517195e-01
1.314255233500703501e-01 1.723049101028428288e-04 5.599071207430340280e+01 4.195519629812833884e-01
1.320144807722145042e-01 1.758657523893055732e-04 5.509711684370257956e+01 4.026162517604992552e-01
1.326077600025094005e-01 1.782873362546955379e-04 5.570728083209509407e+01 4.040970228281050569e-01
1.332040539524766976e-01 1.744335429179743463e-04 5.537969924812030342e+01 4.140766613377516170e-01
1.337952118726198625e-01 1.747646566904005670e-04 5.529116766467065958e+01 4.140692868445419728e-01
1.343878673683256419e-01 1.779955037706022660e-04 5.544518027961736806e+01 4.158265253331691058e-01
1.349827782372201301e-01 1.710551090078638059e-04 5.530258014073494621e+01 3.998197891795430281e-01
1.355646354751713634e-01 1.731824478489169645e-04 5.534261407579273140e+01 4.292423924792510559e-01
1.361467975783394180e-01 1.667530304118826281e-04 5.528411811652035368e+01 4.256451342916616198e-01
1.367392681278295774e-01 1.805327655461707388e-04 5.492633928571428470e+01 3.882147446952856074e-01
1.373399353412685653e-01 1.764590982605011751e-04 5.490428790199081277e+01 4.072217719208613418e-01
1.379330946725930429e-01 1.729619616950492107e-04 5.548289269051321781e+01 4.266565364784624670e-01
1.385187582455994215e-01 1.717601709216722374e-04 5.504972804972805278e+01 4.108759199792560990e-01
1.391076693068875603e-01 1.757801453294401334e-04 5.468750000000000000e+01 4.381802458912632536e-01
1.397011233600357616e-01 1.773447049355782689e-04 5.452311078503301189e+01 4.029046178429302461e-01
1.402930187446197463e-01 1.742734659955617893e-04 5.482618343195266419e+01 4.140860589017130167e-01
1.408837351571304020e-01 1.740939417407923922e-04 5.502430044182621316e+01 4.076995087475194235e-01
1.414685953116597283e-01 1.731265551505803543e-04 5.521777777777777629e+01 4.061280245264958233e-01
1.420654727340543433e-01 1.805258303054985472e-04 5.508637640449438067e+01 4.024391231362499100e-01
1.426549365625934540e-01 1.699540789031406328e-04 5.488032909498878098e+01 4.030827230794690741e-01
1.432375009302578051e-01 1.716750755737982625e-04 5.476435495898583383e+01 4.029181724737896930e-01
1.438304481371828203e-01 1.743017928791224349e-04 5.462694300518134582e+01 4.086953031768670308e-01
1.444216028388676798e-01 1.739205538392257441e-04 5.491422121896162878e+01 4.062665456113722096e-01
1.450196000228658744e-01 1.787158810616803724e-04 5.471365960555149854e+01 3.976250420798679852e-01
1.456157228989683194e-01 1.713715819192056895e-04 5.523000761614623144e+01 4.070211566452012764e-01
1.461933578934416222e-01 1.671771272616321292e-04 5.528459734167318373e+01 4.177946945096766007e-01
1.467825331129521960e-01 1.783663475471296723e-04 5.510580455547391665e+01 3.914776831032291682e-01
1.473795238092665549e-01 1.740845229385317469e-04 5.509325246398786646e+01 3.983486973165004663e-01
1.479741954883254385e-01 1.758396283928921188e-04 5.517349218168279634e+01 4.095476461102793286e-01
1.485629581051818304e-01 1.690634967614222303e-04 5.514385150812064751e+01 4.244696306503353278e-01
1.491433870380603488e-01 1.713905301857751899e-04 5.536874518860661709e+01 4.158338732154684414e-01
1.497340589957669443e-01 1.781698582106917969e-04 5.553362897265336073e+01 3.964280527033448576e-01
1.503212823835163303e-01 1.674400156206240259e-04 5.523607843137254747e+01 4.334841801279072371e-01
1.509120768863535800e-01 1.785931889213845339e-04 5.543818580833942633e+01 4.091770188377896189e-01
