# q qerr q^2*I(q) q^2*I(q)err
4.601831501868475401e-03 1.971421698692923968e-05 2.154760520040917369e-03 1.446146502653787707e+02
4.669736659615858314e-03 1.978939169977307031e-05 2.029456952477270894e-03 1.163131864921016927e+02
4.737383410292395070e-03 1.973847375738404429e-05 2.095195832855748560e-03 1.296096084873588836e+02
4.804821886847655994e-03 1.942915689442253302e-05 2.069193286397258760e-03 1.138571704606499253e+02
4.871950625003718810e-03 1.955115943351297820e-05 2.023995287365736896e-03 1.091866767565305310e+02
4.939147771219791656e-03 1.949036576126756117e-05 2.013135636234071168e-03 1.084087318155921764e+02
5.006954355354511534e-03 1.980270394150634777e-05 1.935425835519060571e-03 8.663947432764571488e+01
5.075114845309400095e-03 2.002225847927727070e-05 1.958383549355442385e-03 9.055222916569729819e+01
5.142619211700991122e-03 1.929123075488308226e-05 1.960183483978939281e-03 8.408736780324603899e+01
5.209919303266624842e-03 1.982557150677745697e-05 1.935581023775405493e-03 8.316237344166928835e+01
5.277014916445939112e-03 1.915365783019887382e-05 1.920149922647033328e-03 8.040423708501508315e+01
5.344511836569975326e-03 1.995327843425863425e-05 1.885141917273528301e-03 7.342070214034031039e+01
5.412547998307737883e-03 1.974997236608811316e-05 1.912234453105497202e-03 6.880951275689353963e+01
5.479645020411885725e-03 1.929917166168920300e-05 1.879073614699605438e-03 6.459775017584485113e+01
5.547303704972840477e-03 2.015133311749089820e-05 1.905276391837706180e-03 6.383554187425549742e+01
5.615478767227431896e-03 1.955865209672668175e-05 1.918971059456574431e-03 6.351949031429116133e+01
5.682746446980322351e-03 1.960434619129030617e-05 1.870059689381640836e-03 5.548710588306276037e+01
5.750189972325866691e-03 1.966904592880588135e-05 1.867893453157082849e-03 5.385393703099511953e+01
5.818215206409739840e-03 1.990070711269662898e-05 1.863633014090429084e-03 5.383163560749432008e+01
5.885769444196407851e-03 1.966888314746633633e-05 1.839558702677547911e-03 4.622391109450830271e+01
5.953110693941146905e-03 1.952351055554656982e-05 1.864723992697096605e-03 4.889072806672663773e+01
6.020396895978891681e-03 1.962449534949631881e-05 1.860353503412782083e-03 4.543136806735633115e+01
6.087915317369120734e-03 1.961179280747432220e-05 1.809370101602965440e-03 4.272022907163501060e+01
6.155308532114622290e-03 1.951049269219080516e-05 1.846315010965615851e-03 4.362214356843644936e+01
6.222783737847701301e-03 1.985563477359878870e-05 1.818876387558510110e-03 3.926390489249325810e+01
6.290561082692666152e-03 1.965634116957869196e-05 1.794620832858969750e-03 3.834108180141902977e+01
6.358436853807359311e-03 2.002734928525242052e-05 1.787490939415029793e-03 3.591017497491711197e+01
6.425997560675809732e-03 1.944684023614669821e-05 1.829789801856735810e-03 3.519005517988259157e+01
6.493403676500615097e-03 1.967678057352399910e-05 1.819228896231618424e-03 3.440610527916916794e+01
6.560512705419740964e-03 1.937169728704065966e-05 1.826682111775183989e-03 3.132580770506340784e+01
6.628287262865622566e-03 1.987991654656486479e-05 1.856032747994444893e-03 3.129735123128223506e+01
6.696009844867114799e-03 1.973933743977795489e-05 1.775019711004788324e-03 2.790184685692556954e+01
6.763734678710330538e-03 1.973171725635742104e-05 1.832394840310975527e-03 2.857377943697875367e+01
6.831283506094338806e-03 1.957260506875967143e-05 1.850237702283386411e-03 2.828036867511818286e+01
6.898423398759391707e-03 1.948042590426524479e-05 1.848855820380564422e-03 2.543387441429327112e+01
6.966045437421817220e-03 1.979294644754504736e-05 1.873286777113493829e-03 2.692589309792191088e+01
7.033894871136494274e-03 1.981774810107581104e-05 1.845425209704537736e-03 2.466526470429279527e+01
7.101085835448881119e-03 1.934029813167913178e-05 1.886834119432614617e-03 2.506834290543122989e+01
7.168612994573447458e-03 1.999224295309456027e-05 1.866195500233962506e-03 2.453444400384401902e+01
7.236429405675168756e-03 1.954946585288097524e-05 1.889075265093954209e-03 2.307233257298312878e+01
7.303791480137660115e-03 1.962070272923706682e-05 1.892395138660529948e-03 2.192329127695940727e+01
7.371349963422169430e-03 1.968840459762251065e-05 1.908099860451493599e-03 2.181796826180808679e+01
7.438596805963352925e-03 1.940043391109824871e-05 1.893035597433010558e-03 1.972431729880592854e+01
7.506091639772692614e-03 1.998828977190043665e-05 1.923958272331794620e-03 1.944765216310506872e+01
7.574079578353261170e-03 1.966571930626881350e-05 1.952630175635982224e-03 1.839191601156091593e+01
7.641706702019100683e-03 1.976029926918539871e-05 1.948814584170281044e-03 1.848453173960087881e+01
7.709261106893555010e-03 1.962631665378475123e-05 1.979118676675236006e-03 1.822228409039818331e+01
7.776803923254117790e-03 1.962708496685510218e-05 1.971374182643823806e-03 1.615328142632108310e+01
7.844248833317453082e-03 1.971777915822096243e-05 1.997193763212253784e-03 1.662762059138511361e+01
7.911686681215057693e-03 1.951956376672445999e-05 2.002444490834510982e-03 1.568248499724400702e+01
